year,title,author,publisher
1642,Hiervsalem verwoest. Trevrspel.,Joost van den Vondel 1587-1679,"Matthijsz, Paulus Amsterdam"
1641,"Gysbrecht van Aemstel, d'ondergangh van zijn stad en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Houthaeck, Dirck Cornelisz Amsterdam"
1720,Joseph in Egypten. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
17XX,Lucifer. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
17XX,"De heerlyckheit der kercke haer ingang, opgang, en voortgang.",Joost van den Vondel 1587-1679,"Oude druckerije, de Köln"
1702,"Brieven der heilige maeghden, martelaressen.",Joost van den Vondel 1587-1679,"Lamsvelt, Jan Amsterdam"
17XX,"Gysbregt van Aemstel, d'ondergank van zyne stad en ballingschap. Treur-spel.",Joost van den Vondel 1587-1679,"Veer, Pieter van der Utrecht"
1639,Maeghden. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1721,"Brieven der heilige maegden, martelaressen.",Joost van den Vondel 1587-1679,"Visscher, Barent wed. Amsterdam"
1653,"Scheepskroon behaelt, in den scheepsstrijt, by Livorne, door [...] Joan van Galen.",Joost van den Vondel 1587-1679,"Ravesteyn, Nicolaes van Amsterdam"
1659,Onderwys van het geloofshooftpunt der H. Dryeenigheit.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1662,"Gysbreght van Aemstel. d'Onderganck van zijne stadt, en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Groot, Michiel de Amsterdam"
1665,Joseph in Dothan. Trevrspel.,Joost van den Vondel 1587-1679,"Bouman, Jan Jacobsz Amsterdam"
1733,"Joseph in Dothan, Treur-spel.",Joost van den Vondel 1587-1679,s.n. Rotterdam
17XX,Tooneelschilt of Pleitrede voor het tooneelrecht.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1652,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1627,"Brvyloftbed van den E. heere, Pieter Cornelisz. Hoofd [...] en de E. Ioffr`SUP`e`LO`. Helionora Hellemans.",Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
1622,De vernieuwde gulden winckel der kunstlievende Nederlanders.,Joost van den Vondel 1587-1679,"Pers, Dirck Pietersz Amsterdam"
1704,"Gysbrecht van Aemstel, d'ondergangk van sijne stad, en ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1706,Joseph in Egypten. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1648,De getemde Mars.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1650,"Gysbreght van Aemstel, d'ondergangh van zijn stad en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Houthaeck, Dirck Cornelisz Amsterdam"
1720,Gebroeders. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1716,Vorstelijcke warande der dieren.,Joost van den Vondel 1587-1679,"Blom, Joannes Amsterdam"
1656,"Jaghtzang aen den doorluchtighsten vorst en heer, J. Mauritius.",Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
164X,De koningklycke harp aen Kornelis van Kampen.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1718,Toonneel des menschelyken levens. Of de vernieuwde Gulden winkel.,Joost van den Vondel 1587-1679,"Graal, Jan Amsterdam"
1661,Tooneelschilt of Pleitrede voor het tooneelrecht.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1715,"Faëton, of Reukelooze stoutheid. Treurspel.",Joost van den Vondel 1587-1679,"Lescaille, Jacob erven Amsterdam"
1761,"Joannis metanoe-angeli sive Poemitentiæ præconis, libri sex.",Joost van den Vondel 1587-1679,"Haan, Eustachius de 's-Gravenhage"
1654,"Afbeeldinge van Christine der Zweden Gotten en Wenden koninginne, door David Beck, hare majesteits kamerling, uitgeschildert.",Joost van den Vondel 1587-1679,"Ravesteyn, Nicolaes van Amsterdam"
1618,"Epithalamivm, of bruylofts-gift, toe-ghe-eyghent den [...] heer Iacob Iacobz. Hinlopen [...]. Ende [...] Sara de Wael.",Joost van den Vondel 1587-1679,"Pers, Dirck Pietersz Amsterdam"
1720,Peter en Pauwels. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1709,Maeghden. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1644,Joseph in Egypten. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1661,Maeghden. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1661,Adonias of Rampzalige kroonzucht. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1721,Zegezang ter eeren van Fredrik Hendrik prince van Oranje.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1720,Vorstelijcke warande der dieren.,Joost van den Vondel 1587-1679,"Blom, Joannes Amsterdam"
1707,"Hekeldigten, met aantekeningen, uit 's digters mont op geschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1705,"Hekeldigten, met aanteekeningen, uit's digters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1647,"Poesy, ofte Verscheide gedichten.",Joost van den Vondel 1587-1679,s.n. Schiedam
1750,Aanleidinge ter Nederduitsche dichtkunste.,Joost van den Vondel 1587-1679,"Hoogstraten, Jacobus van Dordrecht"
1678,"Joseph in Dothan, treurspel.",Joost van den Vondel 1587-1679,"Groot, Michiel de Amsterdam"
1665,Stat-wecker an die Hohen der vereinigten Niederlande.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1661,"Gysbreght van Aemstel. d'ondergangk van zyne stadt, en zyn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1720,Maeghden. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1657,"Keurgedicht op de keurstehouderschap van [...] J. Mauritius, prince van Nassau.",Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1634,Palamedes oft Vermoorde onnoselheyd. Trevr-spel.,Joost van den Vondel 1587-1679,"Colom, Jacob Aertsz I Amsterdam"
1707,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1705,Batavische gebroeders of Onderdrukte vryheit. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1651,Poëzy of verscheide gedichten.,Joost van den Vondel 1587-1679,"Sybes, Gysbert Leeuwarden"
17XX,Vorstelijcke warande der dieren.,Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed., erven van de Amsterdam"
162X,"De Rynstroom, aen Iohan Wolphard, heer te Brederode, vryheer te Vianen.",Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1643,Iervsalem verwoest. Trevrspel.,Joost van den Vondel 1587-1679,"Houthaeck, Dirck Cornelisz Amsterdam"
1626,Begroetenis aen den doorluchtighsten [...] vorst Frederick Henrick.,Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
1699,Toonneel des menschelyken levens. Of de vernieuwde Gulden winkel.,Joost van den Vondel 1587-1679,"Lamsveld, Willem van Amsterdam"
