year,letter
1906,"Endless Prayer Chain

 Oh, Lord Jesus we implore, oh Eternal God, to have mercy on all sin by thy 
precious blood and take us to be with thee eternally. 
 Amen.  This prayer was sent by Bishop Lawrence recommending it
to be rewritten and sent to nine other persons. He who will not send it will 
be effected by some misfortune. One person who paid no attention met with 
a terrible accident. He who rewrites this prayer for nine days and sends it
to nine others commencing on the day it was received will on the ninth day
experience some great joy. It is said at Jerusalem at the Holy Feast that
he who writes this prayer will be delivered from every calamity.
 Please do not break the chain."
1906,"Prayer - O Lord, Jesus Christ,
we implore thee. O Eternal Holiness have mercy on all mankind. Purify us
from all sin by your precious blood and take us to be with you eternally
- Amen.
  O Jesus Christ, we implore thee. O Eternal Lord have mercy on us and
ours. Deliver us from all evil through your precious blood. - Amen.  
  At Jerusalem during the Holy Mass, a voice was heard to say: They
who write this prayer shall be delivered from every calamity. This prayer
was sent from Bishop Lenonce recommending it to be sent to nine persons.
They who do not write this prayer shall be afflicted by a great calamity.
One who paid no attention to it was punished by an accident. They who write
this prayer for nine days and deliver to nine persons through the mail beginning
the day they receive it sending one only to each person shall receive great
joy after nine days.  - Winston oJurnal"
1906,"I want to you to be a link in an 
 endless prayer chain, which I have received from some sister. It explains 
 itself. The prayer is as follows:

   O Lord Jesus Christ, we implore Thee O Eternal God, to have mercy on all 
 mankind. Keep us from sin by Thy precious blood, and take us to be with Thee
 eternally.  Amen."
1906,"Lord Jesus Christ we beseech Thee, O Lord, our God Holy Eternal, have mercy
on us and all sinners forever and ever. Amen. O Lord Jesus Christ we beseech
Thee, Lord Eternal have mercy on us and all sinners and save us from all
harm by Thy precious blood now and forever. Amen.

Whoever writes and recites this prayer for nine days once a day will receive
a great joy at the end of the period beginning from the day the prayer is
received until the end of the nine days. Give a copy a day to any person
who will do the same. This prayer has been sent by the Bishop of Rome with
this story. A copy was sent to a woman who paid no attention to it and in
punishment therefore her son was assassinated at the end of the third day.

Any person who receives this prayer must recite it and give a copy to nine
persons for nine days, one person each day."
1906,"Child of God:
   If you write this prayer for
nine days and send it to nine persons,
commencing the day you receive it, you
will have a great joy at the expiration of
the nine days.
   At Jerusalem a voice was heard to say
during Mass- ""He who recites this prayer
will be delivered from all calamity.  The
Bishop of Lorain recommended it to be sent
to nine persons.  He who will not say it will be
afflicted with a misfortune. Once a person
paid no attention to it and met with 
a terrible accident.  Please in the

.....................    name of God, do not break this chain.
                ""Prayer""
  O Lord Jesus Christ we implore Thee,
O Eternal God, have mercy on all
mankind. Purify us from all sin by
Your precious blood, and take us to live
with Thee - Eternally, Amen.
  O Eternal Holiness, have mercy on
all mankind, pardon our sins and
offences and deliver us from all
trials by Your precious blood, Amen"
1906,"The Endless Prayer Chain
              ______   At Jerusalem during the  Holly Feast it was said,
 ""He who will write this
 prayer shall be delivered 
 from every calamity""
 This prayer was sent by
 Bishop Lawrence recomend-
 ing it to be written & 
 sent to nine other persons.
 He who will write this 
 prayer nine days com-
 mencing on the day it

 

 is received, & sending one
 on each day will on    &
 after the ninth day experience
 much joy.

                    ____
    
      Please do not break 
                the chain.

                      ______

 ""O Lord Jesus Christ, we
 implore Thee, O Eternal
 God to have mercy on us
 & all mankind.  Keep us
 from sin by Thy Precious 
 Blood, & take us to be with
 Thee Eternally.""
                       
  Amen

  
      This was sent me on
              Christmas Eve of 1906.
                       
        K. Horncastle

 Received good results of good news,
giving me great joy, on
 New Year's Day 1907.     Virj [?]
 From Answer to prayer. two people
                       
                      
   (over)
 .................... next page..............
 Husband & Wife. went - to - the
 Holy Communion together,
 on Xmas Day of 1906. for
 the 1st time. living (newly
 married). in Liverpool.
 ____________________________

 Written in a Thankful spirit -
 11 January 1907. by Kate Horncastle"
1906,"Oh Lord, Jesus Christ, we implore
Thee, Oh Eternal God, have mercy upon all mankind.
  Keeping us from sin and take us with Thee through all eternity.

  This prayer was sent out by bishop Lawrence of Mass. with the request
that it be sent to nine persons, beginning with the day you receive it and
sending one each day for nine days.   The one who will not do this will
suffer form some misfortune, but he who will do this will be saved from all
calamity and will on or before the tenth day experience some great joy. 
Please do not break the chain. Try it and see. It will do no harm."
1906,"I received the other day a chain prayer.     Oh, Lord Jesus Christ, we implore 
 Thee, O Eternal God, to have mercy upon mankind.  Keep us from all sin
 and take us to be with Thee eternally.  Amen       This prayer was sent by Bishop 
 Lawrence, recommending it to be rewritten and sent to nine other persons.  
 He who will not say it will be afflicted with some great misfortune. 
  One person who failed to pay attention to it met with a dreadful accident. 
  He who will rewrite it to nine other persons commencing on the day it is
 received - and sending only one each day will on or after the ninth day
experience  great joy.       Please do not break the chain."
1906,"Endless Prayer Chain -- Oh, Lord, Jesus Christ, we implore 
Thee, oh Eternal God, to have mercy on all mankind and keep us from sin by 
thy precious blood and take us to be wit Thee eternally.  Amen!

 This prayer has been sent out by Bishop Lawrence, recommending it to be
rewritten and sent out to nine others. He who will not write it will be afflicted
with some misfortune: one person who paid no attention to it met with a great 
accident.
 He who will rewrite it nine times and distribute it to nine other persons, 
commencing on day received, sending one each day, will on or after the ninth 
day experience a great joy. It has been said he who will rewrite this letter 
will be delivered from any calamity.  Do not break the chain."
1906,"December
1, 1906

Dear friend:
  I am quite sure this will interest you.
  This prayer was sent to me asking me to send it to nine persons.
  Prayer - O Lord Jesus Christ, we implore Thee, O Eternal God, to have
mercy on all our sins and take us with Thee through Eternity, Amen.

  This prayer was sent out by Bishop Lawrence of Massachusetts asking
that it be copied and sent to nine persons.
  Those who will not do this will have some great misfortune.
  He who will write this prayer for nine days and send it to nine persons
will on or before the ninth day experience some great joy.
  It was heard that he who will do this will be delivered from some
great calamity. Please do not break the chain.
                     
                     
Sincerely."
1906,"  Whoever recites and writes this prayer for nine days will receive a great
 joy at the end of the period, beginning from the day you receive it to the
 end of nine days, giving one each day to a person who will do the same.
This  prayer was sent to a woman, who paid not attention to it, and she was
punished  at the end of three days.  This prayer was sent by the bishop
of Rome,  also told of it whoever receives this must recite and give a copy
once a day to a person who will do the same."
1906,"Endless Prayer Chain
 Oh, Lord Jesus Christ, we implore thee,
 Oh, Eternal God, to have mercy on all mankind:
 Keep us from sin by thy precious blood,
 And take us to be with thee eternally.

 This prayer was sent by Bishop Lawrence, recommending it to be re-written 
and sent to nine other persons. He who will not say this prayer, will be afflicted
with some misfortune. One person who paid no attention to it met with a dreadful
accident. He who will re-write this prayer and distribute to nine other persons,
commencing on the day it is received, and sending out only one each day,
will, on or after the ninth day, experience great joy. At Jerusalem, during
the ""Holy Feast,"" it was said, ""He who will rewrite this prayer will be delivered
from every calamity."
1906,"O Lord Jesus Christ we implore thee, 
O Eternal Lord, to have mercy on all mankind. 
Keep us from all sin by Thy precious blood, 
And take us to dwell with Thee eternally.    This prayer was sent out by Bishop Lawrence 
 asking the person receiving it to rewrite it and send it to nine others saying,
 'He who will not rewrite will be affected by some misfortune or be eternally
 punished.  He who rewrites this prayer for nine days will on the ninth
 day experience a great joy.  Please do not break the chain; it must
not be broken.'    "
1906,"Oh Lord Jesus we implore thee Oh Eternal God to have mercy 
on all mankind, keep us from all sin by thy Precious blood and take us to 
dwell with thee eternally.  Amen
 This prayer was sent by Bishop Lawrence recommending it to be rewritten
and sent to nine other persons. He who will not say it will be afflicted
by some misfortune. one who paid on attention to it whatever met wit a terrible
accident. He who will rewrite this prayer for nine days and send it to nine
other persons commencing on the day on which it was received, will on or
after the ninth experience a great joy. At Jerusalem it was said, He who
will rewrite this prayer will be delivered from every calamity.
 Please don't beak this chain."
1906,"Endless Prayer Chain
 Oh Lord Jesus Christ we implore Thee to have mercy on all mankind. Keep
us from sin by Thy precious blood and take us to live with Thee eternally
-- Amen. 
 This prayer was sent out by Bishop Lawrence recommending it to be rewritten 
and sent to nine different persons. He who will not rewrite it will be afflicted 
by some calamity. He who will rewrite it for nine days and distribute it to
nine persons commencing with the day it was received will on the ninth day
receive great joy. At Jerusalem during the Holy Feast it was said: ""He who
will rewrite this prayer will be delivered from all calamity."
1906,"O, Lord Jesus Christ, we implore
Thee, O eternal God, to have mercy on all mankind, keeping us from all sin
by Thy precious blood, and take us to be with Thee eternally.  Amen.

This prayer was sent by Bishop Lawrence recommending it to be recited and
sent to nine other persons. He who will not say it will be affected by some
misfortune. One person who paid not attention to it met with a dreadful accident.
He who will recite this prayer for nine days and will send it or distribute
it to nine other persons commencing on the day it is received and send only
one each day will, on or after the ninth day, experience a great joy.  At
Jerusalem it was heard said, ""He who will recite this prayer will be delivered
from every calamity.""
Please don't break the chain."
1906,"Oh, Lord, Jesus Christ, we beseech 
thee: Lord-Eternal, have mercy on us and save us from all sin by thy precious-blood: 
now and forever.  Amen.
 He who recites this prayer and writes it for nine days, once a day giving 
a copy each day to some person, who will do the same, will receive a great 
joy at the end of the nine days.
 This prayer, purporting to have been sent out by the Bishop of Rome, was 
given to a woman, who paid no attention to it, and in punishment thereof, 
her son was assassinated on the third day.
 At Jerusalem during holy mass, a voice was heard to say: 'he who says this 
prayer shall be delivered from all eternity.
 This prayer has been sent by the Bishop of Luans, recommending it to be
said for nine days and sent to nine persons. He who neglects to say this
will be afflicted with dire misfortune."
